AelafSat1.A1ModJulian     AelafSat1.EarthMJ2000Eq.X   AelafSat1.EarthMJ2000Eq.Y   AelafSat1.EarthMJ2000Eq.Z   
21545.00000039794         7100                        0                           1300                        
21545.00069484238         7086.464536250405           440.7200320631401           1357.477178439186           
21545.00179073639         7010.40594035573            1132.160095392697           1437.587569547673           
21545.00294742192         6858.692139443498           1850.295726225346           1507.438986258375           
21545.00411490409         6633.26234027578            2555.615360528454           1562.009996799925           
21545.00528724056         6336.672394315171           3236.811592957619           1600.230154510504           
21545.00646356144         5971.927487954671           3886.024368148717           1621.581007920317           
21545.00764351862         5542.735182274299           4496.041419730947           1625.761673448118           
21545.00882679073         5053.534106877613           5060.074092699032           1612.663609264773           
21545.01001302936         4509.461947698845           5571.806998857217           1582.371491609065           
21545.01120185597         3916.304673979374           6025.474148755344           1535.16424005099            
21545.01239284963         3280.443359921277           6415.928350179716           1471.51467665569            
21545.01358555644         2608.782472579065           6738.714526885456           1392.0863065616             
21545.01477954506         1908.641008723258           6990.141751508985           1297.72309316255            
21545.01597432888         1187.712832099433           7167.311309474041           1189.44595150372            
21545.01716943218         453.9401816293314           7268.172860514359           1068.437111859145           
21545.01836435746         -284.5602902148401          7291.547582718908           936.0296306836843           
21545.01955863173         -1019.62214938789           7237.147995660203           793.6871398088653           
21545.02075175718         -1743.096411832277          7105.583255437213           642.9921523332233           
21545.02194327607         -2446.988871861065          6898.349580122813           485.6194725524975           
21545.0231327391          -3123.535834249748          6617.811469533402           323.3196584870431           
21545.02431973807         -3765.314470272842          6267.163748787572           157.8935191062367           
21545.02550386253         -4365.305716971703          5850.401518184653           -8.82360600431098           
21545.02668476825         -4917.011275239573          5372.247085004997           -174.9933408256268          
21545.02786212127         -5414.497524052533          4838.106844856292           -338.7882847156869          
21545.02903565061         -5852.484512192073          4253.980689040547           -498.4207414317938          
21545.03020510155         -6226.381626929082          3626.406809202349           -652.1568534811986          
21545.03137030168         -6532.355541008125          2962.345877586791           -798.3448800144305          
21545.03253108759         -6767.341410196404          2269.134261696655           -935.4236890377763          
